1103,922,1196,922,1196,933,1103,933,piping
1068,1006,1178,1006,1178,1019,1068,1019,piping
1340,1281,1433,1281,1433,1294,1340,1294,piping
828,634,935,634,935,646,828,646,piping
1163,554,1278,554,1278,567,1163,567,piping
825,552,938,552,938,568,825,568,piping
1691,1128,1805,1128,1805,1140,1691,1140,piping
1084,1088,1188,1088,1188,1100,1084,1100,piping
943,1053,1046,1053,1046,1066,943,1066,piping
1293,1098,1383,1098,1383,1108,1293,1108,piping
812,952,901,952,901,964,812,964,piping
684,958,777,958,777,969,684,969,piping
695,985,785,985,785,996,695,996,piping
703,1148,793,1148,793,1158,703,1158,piping
480,1067,573,1067,573,1079,480,1079,piping
495,719,592,719,592,731,495,731,piping
210,344,224,344,224,460,210,460,piping
823,332,939,332,939,343,823,343,piping
480,166,596,166,596,179,480,179,piping
356,1007,466,1007,466,1019,356,1019,piping
300,1285,393,1285,393,1297,300,1297,piping
1685,1398,1799,1398,1799,1411,1685,1411,piping
2282,478,2296,478,2296,565,2282,565,piping
1232,167,1351,167,1351,179,1232,179,piping
1166,284,1257,284,1257,298,1166,298,piping
1336,303,1449,303,1449,313,1336,313,piping
1933,323,2018,323,2018,334,1933,334,piping
2173,323,2262,323,2262,334,2173,334,piping
283,383,399,383,399,395,283,395,piping
